Userid,register_time,country,,,,
10738,2/12/17,ID,,,,
10746,4/27/17,ID,,,,
10750,4/7/17,ID,,,,
10754,2/8/17,SG,,,,
10760,1/10/17,MY,,,,
10764,3/23/17,SG,,,,
10773,2/4/17,TW,,,,
10775,3/23/17,VN,,,,
10784,2/3/17,MY,,,,
10790,4/11/17,TH,,,,
10794,5/7/17,PH,,,,
10795,1/1/17,MY,,,,
10797,3/4/17,ID,,,,
10799,1/11/17,TW,,,,
10809,4/29/17,TW,,,,
10812,2/6/17,PH,,,,
10815,3/27/17,PH,,,,
10825,1/2/17,MY,,,,
10833,5/15/17,TH,,,,
10841,2/24/17,PH,,,,
10851,3/28/17,SG,,,,
10858,3/6/17,VN,,,,
10865,3/11/17,SG,,,,
10869,2/28/17,PH,,,,
10874,5/17/17,ID,,,,
10880,3/19/17,ID,,,,
10886,3/16/17,VN,,,,
10896,4/27/17,ID,,,,
10897,1/7/17,ID,,,,
10898,5/22/17,TH,,,,
10903,4/13/17,TH,,,,
10905,2/19/17,ID,,,,
10911,1/3/17,TH,,,,
10913,4/8/17,VN,,,,
10914,4/21/17,ID,,,,
10921,4/23/17,PH,,,,
10930,4/29/17,PH,,,,
10938,2/7/17,PH,,,,
10948,1/21/17,TH,,,,
10957,3/23/17,PH,,,,
10958,4/14/17,PH,,,,
10962,4/20/17,PH,,,,
10963,5/14/17,TH,,,,
10969,2/2/17,ID,,,,
10971,1/9/17,PH,,,,
10981,1/27/17,VN,,,,
10987,3/8/17,TH,,,,
10992,4/17/17,VN,,,,
10996,5/10/17,TH,,,,
11002,3/7/17,TH,,,,
11006,5/27/17,TH,,,,
11012,2/5/17,TW,,,,
11020,3/4/17,PH,,,,
11024,1/21/17,ID,,,,
11028,1/22/17,MY,,,,
11029,3/18/17,MY,,,,
11032,4/30/17,VN,,,,
11042,3/21/17,ID,,,,
11050,5/22/17,MY,,,,
11056,1/10/17,VN,,,,
11058,1/23/17,MY,,,,
11062,4/25/17,VN,,,,
11070,2/19/17,SG,,,,
11073,1/15/17,ID,,,,
11082,2/17/17,PH,,,,
11092,3/21/17,SG,,,,
11102,1/1/17,VN,,,,
11109,3/24/17,SG,,,,
11112,3/20/17,MY,,,,
11119,1/17/17,VN,,,,
11124,4/9/17,TW,,,,
11130,2/23/17,TH,,,,
11137,4/6/17,VN,,,,
11146,3/30/17,TH,,,,
11156,3/4/17,PH,,,,
11164,3/30/17,MY,,,,
11172,5/26/17,ID,,,,
11173,2/10/17,VN,,,,
11180,3/29/17,TW,,,,
11187,5/16/17,ID,,,,
11194,2/18/17,PH,,,,
11195,5/22/17,VN,,,,
11201,3/2/17,PH,,,,
11203,5/11/17,VN,,,,
11210,1/31/17,SG,,,,
11216,1/6/17,SG,,,,
11221,2/9/17,MY,,,,
11231,4/28/17,ID,,,,
11236,2/13/17,TH,,,,
11246,2/12/17,ID,,,,
11254,1/17/17,PH,,,,
11259,5/18/17,MY,,,,
11264,1/30/17,SG,,,,
11269,3/28/17,ID,,,,
11278,5/16/17,VN,,,,
11288,4/8/17,VN,,,,
11293,4/27/17,TW,,,,
11300,5/17/17,PH,,,,
11302,5/20/17,PH,,,,
11311,2/18/17,MY,,,,
11314,2/4/17,SG,,,,
11315,4/14/17,PH,,,,
11316,5/28/17,SG,,,,
11320,4/14/17,VN,,,,
11329,1/28/17,VN,,,,
11330,4/8/17,MY,,,,
11339,6/1/17,PH,,,,
11349,5/15/17,TH,,,,
11352,4/23/17,PH,,,,
11357,3/19/17,TW,,,,
11367,3/17/17,TH,,,,
11370,3/11/17,TW,,,,
11374,2/3/17,TH,,,,
11381,4/3/17,TW,,,,
11391,2/10/17,TW,,,,
11395,3/8/17,MY,,,,
11405,4/27/17,VN,,,,
11414,5/9/17,MY,,,,
11421,3/24/17,ID,,,,
11422,2/26/17,MY,,,,
11427,2/28/17,ID,,,,
11435,3/5/17,MY,,,,
11441,2/25/17,TH,,,,
11444,2/22/17,TH,,,,
11448,4/18/17,TW,,,,
11456,3/3/17,VN,,,,
11466,3/7/17,VN,,,,
11471,2/6/17,ID,,,,
11477,4/8/17,PH,,,,
11481,2/21/17,SG,,,,
11490,4/16/17,MY,,,,
11496,3/31/17,PH,,,,
11501,4/29/17,VN,,,,
11508,1/22/17,TH,,,,
11518,3/2/17,TW,,,,
11519,1/20/17,MY,,,,
11526,1/9/17,TW,,,,
11531,2/14/17,MY,,,,
11534,2/1/17,ID,,,,
11542,1/4/17,PH,,,,
11543,3/4/17,TW,,,,
11544,5/14/17,ID,,,,
11547,3/17/17,VN,,,,
11548,3/3/17,VN,,,,
11550,5/4/17,PH,,,,
11553,1/22/17,ID,,,,
11555,1/29/17,MY,,,,
11563,4/23/17,ID,,,,
11566,1/19/17,TH,,,,
11571,2/2/17,VN,,,,
11581,2/6/17,TW,,,,
11590,5/26/17,VN,,,,
11598,2/7/17,ID,,,,
11601,3/20/17,ID,,,,
11610,1/19/17,TH,,,,
11612,2/21/17,TH,,,,
11618,1/7/17,SG,,,,
11619,3/4/17,VN,,,,
11629,6/1/17,MY,,,,
11639,1/11/17,MY,,,,
11640,1/20/17,TW,,,,
11648,2/3/17,TW,,,,
11657,1/7/17,PH,,,,
11662,3/10/17,MY,,,,
11667,3/10/17,VN,,,,
11676,4/24/17,TW,,,,
11681,4/9/17,SG,,,,
11691,5/16/17,TW,,,,
11697,4/15/17,SG,,,,
11706,3/15/17,TW,,,,
11708,2/18/17,MY,,,,
11713,3/3/17,MY,,,,
11716,4/2/17,TW,,,,
11725,1/16/17,VN,,,,
11727,5/22/17,TW,,,,
11737,5/13/17,SG,,,,
11738,5/15/17,VN,,,,
11742,3/21/17,TW,,,,
11746,2/19/17,TH,,,,
11749,2/21/17,MY,,,,
11750,4/23/17,TH,,,,
11759,3/13/17,VN,,,,
11760,4/24/17,TH,,,,
11770,5/13/17,TH,,,,
11772,4/28/17,MY,,,,
11776,2/6/17,MY,,,,
11780,1/9/17,ID,,,,
11789,2/15/17,ID,,,,
11795,2/22/17,MY,,,,
11805,1/18/17,SG,,,,
11806,4/10/17,SG,,,,
11807,5/9/17,MY,,,,
11816,3/16/17,VN,,,,
11826,1/25/17,SG,,,,
11834,3/10/17,VN,,,,
11837,2/26/17,ID,,,,
11838,6/1/17,SG,,,,
11846,2/6/17,VN,,,,
11853,2/24/17,PH,,,,
11855,2/16/17,MY,,,,
11863,5/10/17,TH,,,,
11866,5/17/17,SG,,,,
11867,1/17/17,MY,,,,
11873,4/20/17,SG,,,,
11882,2/17/17,SG,,,,
11883,4/1/17,VN,,,,
11885,5/19/17,TW,,,,
11892,2/12/17,MY,,,,
11893,5/25/17,VN,,,,
11901,3/6/17,TH,,,,
11902,3/5/17,VN,,,,
11907,1/21/17,SG,,,,
11910,3/18/17,ID,,,,
11914,1/21/17,SG,,,,
11915,3/18/17,SG,,,,
11925,4/16/17,ID,,,,
11927,1/3/17,TW,,,,
11937,3/30/17,MY,,,,
11945,5/25/17,MY,,,,
11950,1/30/17,MY,,,,
11951,4/23/17,ID,,,,
11957,4/5/17,SG,,,,
11961,5/15/17,MY,,,,
11963,2/13/17,PH,,,,
11969,2/16/17,TH,,,,
11972,3/3/17,PH,,,,
11982,4/4/17,MY,,,,
11987,3/30/17,VN,,,,
11997,1/19/17,VN,,,,
12001,4/11/17,TH,,,,
12005,5/27/17,TW,,,,
12010,5/13/17,MY,,,,
12011,3/31/17,SG,,,,
12017,2/13/17,PH,,,,
12020,3/20/17,PH,,,,
12028,5/16/17,MY,,,,
12030,4/3/17,MY,,,,
12040,4/15/17,MY,,,,
12045,5/26/17,VN,,,,
12047,3/25/17,SG,,,,
12050,2/10/17,PH,,,,
12055,1/31/17,MY,,,,
12059,1/1/17,ID,,,,
12068,5/9/17,SG,,,,
12077,2/27/17,SG,,,,
12078,3/18/17,VN,,,,
12083,4/8/17,VN,,,,
12088,5/7/17,MY,,,,
12096,2/3/17,PH,,,,
12103,2/12/17,TH,,,,
12106,5/15/17,TW,,,,
12112,1/2/17,VN,,,,
12117,2/6/17,SG,,,,
12123,4/21/17,TW,,,,
12133,5/10/17,TW,,,,
12134,1/10/17,TW,,,,
12136,4/12/17,TH,,,,
12146,2/27/17,VN,,,,
12149,5/19/17,TH,,,,
12152,5/6/17,VN,,,,
12157,1/14/17,TW,,,,
12167,1/13/17,MY,,,,
12171,4/29/17,SG,,,,
12173,3/9/17,SG,,,,
12175,5/17/17,TH,,,,
12176,1/21/17,PH,,,,
12181,2/18/17,VN,,,,
12186,1/9/17,VN,,,,
12195,4/7/17,TW,,,,
12196,1/16/17,MY,,,,
12197,4/21/17,TW,,,,
12202,3/8/17,ID,,,,
12206,2/2/17,TW,,,,
12215,4/21/17,TH,,,,
12218,4/26/17,PH,,,,
12224,3/7/17,TH,,,,
12226,6/1/17,MY,,,,
12232,1/20/17,TH,,,,
12233,5/25/17,TW,,,,
12240,1/1/17,SG,,,,
12248,1/6/17,ID,,,,
12258,3/12/17,TH,,,,
12262,1/2/17,TH,,,,
12270,4/17/17,SG,,,,
12277,1/15/17,ID,,,,
12283,4/25/17,MY,,,,
12292,3/16/17,PH,,,,
12302,5/3/17,ID,,,,
12307,4/14/17,PH,,,,
12309,3/21/17,PH,,,,
12311,2/1/17,TW,,,,
12317,1/8/17,ID,,,,
12323,5/5/17,TW,,,,
12329,1/29/17,TH,,,,
12330,3/2/17,ID,,,,
12334,4/27/17,MY,,,,
12340,1/20/17,VN,,,,
12342,5/11/17,TW,,,,
12351,3/16/17,ID,,,,
12358,1/27/17,TW,,,,
12365,1/12/17,TH,,,,
12367,1/6/17,SG,,,,
12377,5/1/17,SG,,,,
12382,2/22/17,SG,,,,
12387,2/8/17,VN,,,,
12391,3/29/17,MY,,,,
12401,4/12/17,ID,,,,
12411,2/14/17,VN,,,,
12413,2/6/17,TH,,,,
12414,5/24/17,ID,,,,
12417,4/28/17,TH,,,,
12425,2/4/17,TH,,,,
12429,2/21/17,VN,,,,
12436,5/3/17,MY,,,,
12442,5/25/17,ID,,,,
12443,5/15/17,PH,,,,
12452,1/17/17,PH,,,,
12458,1/28/17,PH,,,,
12467,2/7/17,TH,,,,
12475,1/2/17,PH,,,,
12477,5/21/17,SG,,,,
12481,2/11/17,VN,,,,
12489,1/28/17,SG,,,,
12492,1/16/17,ID,,,,
12498,5/16/17,ID,,,,
12506,5/3/17,SG,,,,
12509,1/2/17,ID,,,,
12516,1/5/17,TH,,,,
12517,2/16/17,VN,,,,
12519,4/16/17,ID,,,,
12528,4/2/17,SG,,,,
12533,3/10/17,TW,,,,
12541,1/9/17,TH,,,,
12549,3/21/17,VN,,,,
12550,5/11/17,ID,,,,
12553,1/12/17,VN,,,,
12555,2/25/17,MY,,,,
12559,2/13/17,PH,,,,
12563,2/20/17,VN,,,,
12567,3/22/17,MY,,,,
12576,3/14/17,MY,,,,
12581,2/17/17,TH,,,,
12586,1/5/17,MY,,,,
12587,3/23/17,ID,,,,
12596,3/20/17,MY,,,,
12605,4/12/17,TW,,,,
12607,3/7/17,MY,,,,
12609,2/7/17,TW,,,,
12610,5/12/17,TH,,,,
12616,5/5/17,TW,,,,
12622,4/23/17,TH,,,,
12625,2/5/17,PH,,,,
12629,2/3/17,TW,,,,
12635,1/30/17,PH,,,,
12638,4/11/17,MY,,,,
12643,5/9/17,SG,,,,
12645,4/30/17,PH,,,,
12651,4/25/17,PH,,,,
12658,3/28/17,TW,,,,
12660,3/27/17,TH,,,,
12661,2/24/17,SG,,,,
12668,2/28/17,TW,,,,
12671,5/18/17,ID,,,,
12675,1/6/17,PH,,,,
12683,1/16/17,MY,,,,
12688,5/22/17,SG,,,,
12695,5/24/17,TH,,,,
12704,3/10/17,PH,,,,
12707,1/22/17,MY,,,,
12708,1/10/17,MY,,,,
12716,2/8/17,PH,,,,
12721,4/19/17,PH,,,,
12727,2/10/17,PH,,,,
12728,5/13/17,MY,,,,
12735,3/27/17,TW,,,,
12736,3/18/17,MY,,,,
12740,3/20/17,SG,,,,
12747,1/14/17,ID,,,,
12755,4/19/17,PH,,,,
12759,2/26/17,VN,,,,
12762,1/6/17,MY,,,,
12765,5/24/17,SG,,,,
12766,3/9/17,PH,,,,
12774,3/15/17,MY,,,,
12784,4/30/17,SG,,,,
12790,2/15/17,VN,,,,
12795,5/25/17,PH,,,,
12801,1/18/17,TH,,,,
12806,3/21/17,VN,,,,
12816,3/3/17,TW,,,,
12826,1/1/17,TW,,,,
12834,1/28/17,SG,,,,
12836,3/26/17,ID,,,,
12841,1/20/17,ID,,,,
12850,3/31/17,VN,,,,
12851,1/22/17,SG,,,,
12858,5/21/17,ID,,,,
12862,3/25/17,PH,,,,
12871,2/7/17,TW,,,,
12881,3/18/17,MY,,,,
12883,3/19/17,SG,,,,
12893,2/26/17,ID,,,,
12901,2/13/17,PH,,,,
12909,3/26/17,TW,,,,
12915,1/21/17,TW,,,,
12920,5/23/17,TH,,,,
12929,1/9/17,TW,,,,
12931,4/20/17,PH,,,,
12937,2/1/17,TW,,,,
12938,4/13/17,VN,,,,
12947,5/10/17,SG,,,,
12957,3/5/17,VN,,,,
12966,2/2/17,MY,,,,
12974,5/13/17,VN,,,,
12979,3/2/17,MY,,,,
12984,1/11/17,ID,,,,
12991,1/16/17,TW,,,,
12993,5/13/17,PH,,,,
13000,3/1/17,PH,,,,
13003,4/10/17,ID,,,,
13010,4/28/17,VN,,,,
13011,1/9/17,ID,,,,
13012,1/1/17,TH,,,,
13021,4/30/17,PH,,,,
13028,4/8/17,TW,,,,
13038,1/31/17,ID,,,,
13048,2/24/17,TH,,,,
13050,1/16/17,ID,,,,
13055,4/29/17,PH,,,,
13065,4/1/17,SG,,,,
13074,1/7/17,TW,,,,
13079,1/24/17,TH,,,,
13084,2/12/17,VN,,,,
13094,4/27/17,MY,,,,
13096,4/17/17,VN,,,,
13100,2/16/17,TW,,,,
13108,5/6/17,TW,,,,
13117,3/7/17,ID,,,,
13121,6/1/17,SG,,,,
13131,2/28/17,PH,,,,
13141,5/17/17,VN,,,,
13151,2/4/17,ID,,,,
13157,2/18/17,PH,,,,
13159,2/2/17,TH,,,,
13163,4/30/17,MY,,,,
13168,2/28/17,VN,,,,
13173,5/16/17,TH,,,,
13182,4/20/17,PH,,,,
13186,4/19/17,TH,,,,
13192,3/20/17,PH,,,,
13200,3/4/17,MY,,,,
13207,2/3/17,PH,,,,
13213,4/3/17,VN,,,,
13219,5/19/17,MY,,,,
13227,3/22/17,VN,,,,
13231,5/25/17,VN,,,,
13232,2/10/17,TW,,,,
13234,4/13/17,VN,,,,
13237,5/4/17,SG,,,,
13241,2/4/17,TW,,,,
13249,2/12/17,VN,,,,
13256,2/22/17,TW,,,,
13266,1/31/17,TW,,,,
13276,4/12/17,SG,,,,
13278,4/18/17,PH,,,,
13281,1/31/17,MY,,,,
13288,2/18/17,TH,,,,
13295,3/9/17,TW,,,,
13302,2/14/17,ID,,,,
13304,1/18/17,VN,,,,
13308,5/20/17,VN,,,,
13311,4/15/17,MY,,,,
13314,2/14/17,ID,,,,
13323,5/5/17,TW,,,,
13326,3/17/17,PH,,,,
13335,4/30/17,TW,,,,
13338,3/14/17,TW,,,,
13347,2/15/17,TW,,,,
13353,3/2/17,MY,,,,
13355,1/17/17,TH,,,,
13362,1/27/17,PH,,,,
13368,5/6/17,PH,,,,
13375,1/3/17,PH,,,,
13376,5/30/17,PH,,,,
13381,2/11/17,TH,,,,
13388,2/18/17,VN,,,,
13393,2/11/17,VN,,,,
13398,5/28/17,MY,,,,
13399,2/20/17,MY,,,,
13409,2/17/17,TH,,,,
13410,3/3/17,TW,,,,
13416,2/4/17,TH,,,,
13419,1/26/17,TW,,,,
13429,4/21/17,VN,,,,
13430,3/11/17,TH,,,,
13435,3/23/17,SG,,,,
13439,3/30/17,MY,,,,
13442,1/6/17,MY,,,,
13443,1/12/17,PH,,,,
13445,4/28/17,PH,,,,
13446,4/11/17,VN,,,,
13451,4/27/17,VN,,,,
13452,5/29/17,TW,,,,
13460,1/12/17,SG,,,,
13469,5/16/17,VN,,,,
13479,2/12/17,SG,,,,
13480,4/23/17,TW,,,,
13487,3/13/17,TW,,,,
13490,5/13/17,VN,,,,
13494,2/3/17,PH,,,,
13504,3/6/17,VN,,,,
13510,5/22/17,ID,,,,
13511,4/30/17,TW,,,,
13512,1/23/17,TW,,,,
13517,1/30/17,MY,,,,
13524,1/31/17,ID,,,,
13530,2/2/17,TH,,,,
13540,4/3/17,ID,,,,
13548,4/17/17,ID,,,,
13550,3/7/17,SG,,,,
13555,5/25/17,SG,,,,
13560,1/16/17,TH,,,,
13566,5/26/17,SG,,,,
13567,4/19/17,ID,,,,
13573,3/29/17,VN,,,,
13576,5/27/17,VN,,,,
13577,1/14/17,ID,,,,
13584,3/8/17,ID,,,,
13586,4/12/17,ID,,,,
13590,5/29/17,PH,,,,
13595,2/5/17,PH,,,,
13598,1/1/17,ID,,,,
13599,2/22/17,TH,,,,
13601,5/28/17,MY,,,,
13603,1/28/17,TH,,,,
13605,3/18/17,TW,,,,
13609,2/27/17,MY,,,,
13615,1/31/17,SG,,,,
13623,3/18/17,TH,,,,
13631,3/1/17,PH,,,,
13632,2/23/17,MY,,,,
13638,4/7/17,VN,,,,
13643,1/31/17,SG,,,,
13644,5/16/17,SG,,,,
13647,4/22/17,TW,,,,
13652,5/17/17,TW,,,,
13658,3/12/17,ID,,,,
13664,5/16/17,TW,,,,
13666,5/15/17,TW,,,,
13671,4/14/17,VN,,,,
13676,3/29/17,SG,,,,
13677,2/16/17,TW,,,,
13684,3/25/17,MY,,,,
13692,4/3/17,TH,,,,
13693,1/6/17,PH,,,,
13701,3/14/17,TH,,,,
13703,4/26/17,PH,,,,
13704,3/26/17,PH,,,,
13706,2/5/17,SG,,,,
13713,1/11/17,PH,,,,
13717,4/20/17,ID,,,,
13725,3/21/17,TH,,,,
13728,5/16/17,MY,,,,
13738,4/19/17,VN,,,,
13745,1/3/17,TH,,,,
13747,5/18/17,MY,,,,
13755,1/24/17,VN,,,,
13762,4/28/17,VN,,,,
13766,4/30/17,TH,,,,
13776,1/17/17,MY,,,,
13784,5/31/17,SG,,,,
13788,3/27/17,VN,,,,
13795,4/27/17,PH,,,,
13804,3/12/17,MY,,,,
13811,3/12/17,PH,,,,
13818,5/9/17,TW,,,,
13822,2/27/17,ID,,,,
13823,2/15/17,PH,,,,
13828,2/1/17,VN,,,,
13837,1/16/17,ID,,,,
13843,1/1/17,VN,,,,
13850,1/18/17,MY,,,,
13857,2/13/17,TH,,,,
13862,5/18/17,SG,,,,
13866,5/6/17,VN,,,,
13872,4/11/17,SG,,,,
13882,4/18/17,ID,,,,
13890,3/2/17,TW,,,,
13896,4/29/17,PH,,,,
13899,5/20/17,VN,,,,
13902,2/13/17,TW,,,,
13912,4/3/17,ID,,,,
13922,5/3/17,TW,,,,
13932,2/1/17,ID,,,,
13935,1/25/17,PH,,,,
13941,5/23/17,TW,,,,
13942,1/31/17,TW,,,,
13945,3/10/17,PH,,,,
13952,4/7/17,ID,,,,
13956,5/7/17,PH,,,,
13964,1/14/17,ID,,,,
13972,5/18/17,VN,,,,
13976,1/25/17,TW,,,,
13981,3/14/17,ID,,,,
13984,5/21/17,TW,,,,
13989,1/2/17,TH,,,,
13993,2/3/17,VN,,,,
14001,1/5/17,MY,,,,
14004,4/9/17,SG,,,,
14014,2/7/17,VN,,,,
14018,3/16/17,MY,,,,
14024,5/14/17,SG,,,,
14032,2/10/17,PH,,,,
14042,4/16/17,TW,,,,
14049,1/6/17,TH,,,,
14055,2/11/17,TW,,,,
14059,4/4/17,MY,,,,
14068,5/9/17,VN,,,,
14075,3/16/17,PH,,,,
14083,5/10/17,PH,,,,
14087,1/6/17,SG,,,,
14094,2/2/17,VN,,,,
14099,2/27/17,VN,,,,
14101,3/11/17,PH,,,,
14105,4/4/17,TH,,,,
14110,2/1/17,ID,,,,
14111,4/19/17,TW,,,,
14114,5/23/17,PH,,,,
14124,4/3/17,TH,,,,
14125,1/26/17,TW,,,,
14134,1/30/17,MY,,,,
14140,2/28/17,SG,,,,
14142,5/15/17,SG,,,,
14146,1/6/17,MY,,,,
14153,3/15/17,MY,,,,
14163,3/7/17,TW,,,,
14168,1/18/17,VN,,,,
14177,2/8/17,SG,,,,
14183,2/1/17,SG,,,,
14188,3/8/17,MY,,,,
14195,3/12/17,ID,,,,
14203,2/3/17,TW,,,,
14213,4/14/17,PH,,,,
14219,4/6/17,TW,,,,
14220,3/25/17,VN,,,,
14225,5/20/17,SG,,,,
14228,2/17/17,SG,,,,
14230,4/2/17,VN,,,,
14233,3/18/17,PH,,,,
14239,3/17/17,VN,,,,
14241,1/8/17,TH,,,,
14245,4/2/17,ID,,,,
14252,1/26/17,TW,,,,
14256,5/30/17,MY,,,,
14261,4/28/17,TH,,,,
14268,1/5/17,MY,,,,
14276,1/2/17,ID,,,,
14280,3/14/17,VN,,,,
14287,5/23/17,PH,,,,
14294,3/17/17,TW,,,,
14297,2/6/17,SG,,,,
14299,4/13/17,SG,,,,
14305,2/17/17,TH,,,,
14314,4/27/17,VN,,,,
14316,1/25/17,MY,,,,
14320,1/6/17,PH,,,,
14325,4/15/17,TH,,,,
14330,6/1/17,TW,,,,
14340,5/8/17,VN,,,,
14348,5/7/17,TW,,,,
14358,2/24/17,TH,,,,
14359,2/19/17,TH,,,,
14366,3/19/17,MY,,,,
14369,5/9/17,PH,,,,
14377,5/2/17,MY,,,,
14384,3/11/17,TH,,,,
14389,3/11/17,TH,,,,
14397,5/17/17,ID,,,,
14401,5/10/17,TH,,,,
14405,4/6/17,TH,,,,
14407,1/4/17,MY,,,,
14417,5/26/17,ID,,,,
14420,4/13/17,TH,,,,
14422,5/14/17,SG,,,,
14425,4/14/17,VN,,,,
14435,4/11/17,SG,,,,
14438,3/11/17,TH,,,,
14441,5/17/17,SG,,,,
14444,2/15/17,ID,,,,
14452,1/24/17,SG,,,,
14462,3/20/17,TW,,,,
14468,5/24/17,TH,,,,
14478,5/19/17,SG,,,,
14486,5/6/17,TH,,,,
14489,3/10/17,TH,,,,
14495,3/29/17,TW,,,,
14499,5/28/17,SG,,,,
14507,3/31/17,VN,,,,
14511,5/24/17,PH,,,,
14517,2/27/17,TH,,,,
14523,1/28/17,PH,,,,
14524,2/15/17,PH,,,,
14529,4/1/17,TH,,,,
14534,4/29/17,VN,,,,
14542,5/5/17,TW,,,,
14546,2/23/17,TH,,,,
14548,3/31/17,PH,,,,
14555,2/8/17,TH,,,,
14562,5/18/17,VN,,,,
14564,2/20/17,MY,,,,
14570,3/21/17,PH,,,,
14571,5/6/17,PH,,,,
14578,1/4/17,TW,,,,
14588,4/24/17,MY,,,,
14593,4/22/17,MY,,,,
14596,4/25/17,PH,,,,
14602,5/1/17,TW,,,,
14611,5/4/17,VN,,,,
14620,5/9/17,ID,,,,
14623,4/7/17,MY,,,,
14632,3/4/17,TH,,,,
14641,4/29/17,ID,,,,
14647,2/6/17,MY,,,,
14648,4/3/17,TW,,,,
14657,5/3/17,TW,,,,
14664,1/24/17,MY,,,,
14672,2/12/17,VN,,,,
14675,3/13/17,ID,,,,
14685,3/3/17,VN,,,,
14691,4/15/17,ID,,,,
14693,2/5/17,PH,,,,
14696,4/27/17,TW,,,,
14699,2/23/17,ID,,,,
14701,4/16/17,PH,,,,
14705,5/6/17,TW,,,,
14710,5/7/17,TH,,,,
14719,2/23/17,PH,,,,
14728,2/28/17,MY,,,,
14736,2/8/17,VN,,,,
14738,2/17/17,MY,,,,
14748,3/3/17,MY,,,,
14756,5/26/17,TH,,,,
14757,3/29/17,SG,,,,
14758,3/26/17,TH,,,,
14762,2/23/17,SG,,,,
14769,1/23/17,PH,,,,
14770,1/5/17,ID,,,,
14774,1/24/17,TH,,,,
14779,4/13/17,MY,,,,
14789,2/25/17,VN,,,,
14799,5/8/17,PH,,,,
14802,3/14/17,ID,,,,
14803,1/19/17,PH,,,,
14807,2/2/17,SG,,,,
14809,4/2/17,TH,,,,
14813,3/5/17,ID,,,,
14821,1/26/17,TW,,,,
14825,5/29/17,TH,,,,
14833,5/27/17,SG,,,,
14839,2/17/17,MY,,,,
14846,2/13/17,MY,,,,
14854,4/14/17,TH,,,,
14863,1/29/17,TW,,,,
14873,5/13/17,TH,,,,
14874,1/5/17,TH,,,,
14876,4/6/17,MY,,,,
14879,3/21/17,VN,,,,
14884,3/13/17,SG,,,,
14888,2/22/17,PH,,,,
14890,3/3/17,VN,,,,
14899,1/3/17,VN,,,,
14907,3/8/17,TW,,,,
14913,4/30/17,SG,,,,
14923,3/23/17,TH,,,,
14925,1/13/17,VN,,,,
14931,4/21/17,PH,,,,
14936,2/28/17,TH,,,,
14946,4/3/17,VN,,,,
14950,1/20/17,ID,,,,
14958,1/7/17,PH,,,,
14959,4/8/17,ID,,,,
14960,1/28/17,PH,,,,
14967,2/16/17,SG,,,,
14971,5/8/17,VN,,,,
14980,1/28/17,MY,,,,
14986,1/10/17,VN,,,,
14992,1/26/17,TW,,,,
14993,1/26/17,TH,,,,
15001,1/20/17,TH,,,,
15003,5/3/17,ID,,,,
15009,1/23/17,SG,,,,
15017,1/3/17,MY,,,,
15021,1/6/17,ID,,,,
15023,5/8/17,VN,,,,
