orderid:,userid:,itemid:,gmv:,order_time:,Country ,,,
1030429,53598,6199447,12.0,3/5/17,,,,
1030431,44993,8897647,51.0,5/8/17,,,,
1030434,65615,3201138,31.0,5/5/17,,,,
1030438,17153,3435057,61.0,4/16/17,,,,
1030442,69314,1488337,84.0,5/3/17,,,,
1030445,19439,7988798,70.0,3/12/17,,,,
1030447,49903,4429667,90.0,3/21/17,,,,
1030453,21331,4200120,89.0,4/5/17,,,,
1030456,11925,7183378,86.0,3/29/17,,,,
1030466,46094,2003377,80.0,2/15/17,,,,
1030474,51111,9042601,2.0,3/8/17,,,,
1030480,22184,7841400,75.0,4/12/17,,,,
1030484,59624,3067307,50.0,5/31/17,,,,
1030490,20184,4165460,96.0,3/14/17,,,,
1030494,22227,1325348,59.0,1/17/17,,,,
1030499,61530,5701545,88.0,1/31/17,,,,
1030503,23099,7942993,6.0,1/22/17,,,,
1030508,41736,6850338,27.0,1/8/17,,,,
1030518,60772,5884827,7.0,5/14/17,,,,
1030526,46046,2522411,35.0,3/24/17,,,,
1030533,36179,7045364,61.0,6/1/17,,,,
1030540,31690,9223750,91.0,3/27/17,,,,
1030545,29991,5711073,20.0,4/8/17,,,,
1030546,23206,4650433,57.0,1/16/17,,,,
1030549,28555,1797004,37.0,3/8/17,,,,
1030557,55093,2169203,25.0,5/31/17,,,,
1030562,62922,8588781,71.0,5/6/17,,,,
1030571,49058,5268958,56.0,3/23/17,,,,
1030580,42154,6167682,35.0,3/1/17,,,,
1030583,68494,4456395,86.0,2/10/17,,,,
1030587,53133,4687522,73.0,3/29/17,,,,
1030593,31788,2391322,33.0,1/27/17,,,,
1030598,36433,4907568,81.0,5/1/17,,,,
1030607,27906,7789974,39.0,5/4/17,,,,
1030615,49668,7968061,17.0,4/13/17,,,,
1030621,29740,1966226,41.0,3/5/17,,,,
1030631,55971,7510220,23.0,1/10/17,,,,
1030640,30342,7882424,28.0,4/12/17,,,,
1030646,29756,7168779,3.0,2/11/17,,,,
1030655,54126,4454286,81.0,2/16/17,,,,
1030660,66782,8064497,52.0,4/16/17,,,,
1030665,41922,4951007,22.0,5/19/17,,,,
1030673,18494,6945938,24.0,3/22/17,,,,
1030675,35816,1686930,49.0,4/20/17,,,,
1030678,61042,6706597,59.0,5/24/17,,,,
1030686,14228,6547916,58.0,5/15/17,,,,
1030692,27065,2130346,34.0,3/15/17,,,,
1030699,52219,7191939,79.0,3/18/17,,,,
1030704,66183,8338220,34.0,4/6/17,,,,
1030708,37656,2805382,53.0,2/6/17,,,,
1030718,29261,7776822,28.0,5/18/17,,,,
1030725,26021,5823191,12.0,4/12/17,,,,
1030731,14499,7418218,100.0,2/24/17,,,,
1030733,47936,8545471,21.0,2/1/17,,,,
1030743,28673,4837109,72.0,4/6/17,,,,
1030745,30596,4100981,82.0,4/14/17,,,,
1030746,58645,2976798,72.0,5/1/17,,,,
1030755,54854,8480014,16.0,2/25/17,,,,
1030758,13837,2719035,99.0,2/21/17,,,,
1030765,69661,6497705,29.0,3/4/17,,,,
1030771,32210,9308640,86.0,1/12/17,,,,
1030775,36842,4740180,13.0,3/18/17,,,,
1030776,22996,1789287,61.0,3/15/17,,,,
1030777,55821,4790124,18.0,2/28/17,,,,
1030780,46567,1529022,19.0,2/12/17,,,,
1030789,10477,2455590,22.0,2/2/17,,,,
1030791,25564,4411904,13.0,5/18/17,,,,
1030800,10366,6131792,14.0,2/4/17,,,,
1030809,11639,9274400,94.0,1/12/17,,,,
1030810,66104,2106378,44.0,3/13/17,,,,
1030815,14230,6645902,39.0,4/20/17,,,,
1030820,64276,3161583,10.0,1/7/17,,,,
1030824,35816,2445208,19.0,1/21/17,,,,
1030834,63122,2947939,19.0,3/7/17,,,,
1030839,53606,1522911,10.0,5/7/17,,,,
1030847,47419,3512771,80.0,1/22/17,,,,
1030855,67646,2383957,45.0,1/14/17,,,,
1030857,68207,8446365,21.0,5/17/17,,,,
1030861,50107,4501339,26.0,2/17/17,,,,
1030867,19788,5987082,66.0,3/4/17,,,,
1030872,51743,6345482,71.0,2/3/17,,,,
1030879,31717,8840290,60.0,1/16/17,,,,
1030881,50480,3847446,32.0,5/27/17,,,,
1030883,16989,2045728,37.0,3/11/17,,,,
1030886,59251,3188374,33.0,4/29/17,,,,
1030896,46399,7747705,95.0,3/15/17,,,,
1030902,30892,2947268,55.0,2/10/17,,,,
1030907,41100,6897338,56.0,3/11/17,,,,
1030915,31521,7661365,80.0,5/6/17,,,,
1030917,61511,6253558,41.0,5/16/17,,,,
1030921,12387,8841623,18.0,3/11/17,,,,
1030926,41441,1487073,47.0,1/6/17,,,,
1030936,26654,6702764,35.0,4/3/17,,,,
1030942,45136,3563809,15.0,2/14/17,,,,
1030945,30773,2356295,73.0,4/9/17,,,,
1030947,26456,2987794,92.0,5/31/17,,,,
1030957,26661,4345939,8.0,2/17/17,,,,
1030963,39066,9092588,87.0,2/5/17,,,,
1030964,19139,6464129,53.0,3/18/17,,,,
1030969,56396,6097754,33.0,4/28/17,,,,
1030976,23350,9326736,26.0,2/21/17,,,,
1030984,47211,6106204,67.0,1/1/17,,,,
1030993,63386,9292448,4.0,1/24/17,,,,
1031002,19994,6724231,62.0,5/23/17,,,,
1031008,25106,7987004,60.0,5/8/17,,,,
1031009,17000,1472619,83.0,3/15/17,,,,
1031019,56399,2816269,39.0,3/2/17,,,,
1031027,14075,8637261,43.0,4/7/17,,,,
1031031,52756,2056013,73.0,1/10/17,,,,
1031039,23461,6917029,14.0,3/25/17,,,,
1031041,29300,3659494,27.0,5/5/17,,,,
1031049,57289,4633002,28.0,2/25/17,,,,
1031050,24674,9247358,26.0,4/5/17,,,,
1031060,33345,2505722,64.0,3/13/17,,,,
1031061,13276,7170569,98.0,1/22/17,,,,
1031070,54540,2657005,98.0,4/9/17,,,,
1031076,51160,5817743,22.0,4/5/17,,,,
1031081,19446,8706063,23.0,5/17/17,,,,
1031091,49011,3590814,92.0,4/14/17,,,,
1031093,57444,6025080,12.0,3/2/17,,,,
1031095,13857,2339541,28.0,4/7/17,,,,
1031098,34753,2407907,100.0,2/25/17,,,,
1031102,21331,7039225,74.0,3/16/17,,,,
1031111,13964,3167083,74.0,4/9/17,,,,
1031116,49949,4951633,22.0,1/4/17,,,,
1031118,64340,9118573,38.0,4/3/17,,,,
1031121,13976,8670032,2.0,5/25/17,,,,
1031125,42955,2027112,8.0,3/21/17,,,,
1031134,40613,6352338,15.0,3/30/17,,,,
1031142,18065,2340914,21.0,1/23/17,,,,
1031151,35247,4911824,31.0,5/13/17,,,,
1031161,54952,2269079,67.0,5/15/17,,,,
1031163,39623,7889602,39.0,2/16/17,,,,
1031167,47852,7647739,81.0,1/17/17,,,,
1031177,32449,1730948,57.0,2/6/17,,,,
1031185,29906,8522451,52.0,1/5/17,,,,
1031193,66342,2458842,56.0,1/19/17,,,,
1031197,13256,5865541,2.0,1/2/17,,,,
1031204,70175,4286207,24.0,1/12/17,,,,
1031205,65113,5550115,23.0,3/26/17,,,,
1031212,39673,5832788,38.0,2/23/17,,,,
1031217,15409,7616827,66.0,4/11/17,,,,
1031226,56013,5760669,65.0,2/25/17,,,,
1031234,17071,1650324,38.0,1/8/17,,,,
1031238,67780,3019287,18.0,3/19/17,,,,
1031246,61103,1427193,36.0,6/1/17,,,,
1031256,63278,2555636,35.0,1/31/17,,,,
1031259,41612,1829618,2.0,4/13/17,,,,
1031269,29164,2764434,73.0,4/15/17,,,,
1031270,61597,8078095,61.0,4/29/17,,,,
1031275,23057,1907597,42.0,2/4/17,,,,
1031278,55590,9107253,100.0,5/15/17,,,,
1031279,40831,7780182,16.0,3/10/17,,,,
1031286,22221,6774698,77.0,1/5/17,,,,
1031289,65065,3963133,64.0,4/23/17,,,,
1031292,67918,3928274,14.0,3/29/17,,,,
1031295,32795,2094972,74.0,1/31/17,,,,
1031298,31191,8098374,24.0,3/28/17,,,,
1031300,14101,1350551,12.0,2/11/17,,,,
1031306,12176,8441992,69.0,1/4/17,,,,
1031314,14299,6575422,35.0,2/18/17,,,,
1031317,38849,3609108,70.0,3/21/17,,,,
1031326,37639,7341274,58.0,4/11/17,,,,
1031334,67990,9114277,95.0,5/12/17,,,,
1031340,35421,2617807,11.0,1/26/17,,,,
1031348,36688,4429067,46.0,2/3/17,,,,
1031358,57454,5530037,58.0,4/8/17,,,,
1031362,67749,7539204,100.0,2/17/17,,,,
1031365,23485,5022378,13.0,2/1/17,,,,
1031366,12077,2081690,33.0,4/19/17,,,,
1031370,63220,7961955,36.0,4/20/17,,,,
1031380,13964,2326495,8.0,4/24/17,,,,
1031390,22197,5589539,33.0,3/12/17,,,,
1031400,11102,5311631,75.0,3/14/17,,,,
1031409,12841,4628986,13.0,1/28/17,,,,
1031411,12133,2384120,90.0,4/12/17,,,,
1031412,55799,1976058,6.0,5/19/17,,,,
1031417,17250,3643531,82.0,2/7/17,,,,
1031424,49367,1896856,1.0,4/17/17,,,,
1031425,58690,2028183,75.0,4/1/17,,,,
1031431,30435,1866915,69.0,4/27/17,,,,
1031441,45899,5498442,83.0,5/27/17,,,,
1031445,50795,7786961,49.0,4/25/17,,,,
1031448,65741,6201824,79.0,5/26/17,,,,
1031458,45147,6481729,33.0,1/17/17,,,,
1031459,19191,3123521,96.0,2/6/17,,,,
1031462,62987,8863849,22.0,4/25/17,,,,
1031471,17804,8705212,100.0,1/12/17,,,,
1031473,60333,6391812,60.0,5/9/17,,,,
1031482,11519,6814247,54.0,1/8/17,,,,
1031488,59516,3440903,55.0,3/3/17,,,,
1031489,18185,7176109,89.0,4/2/17,,,,
1031497,38343,3705268,40.0,5/4/17,,,,
1031506,33636,5937966,71.0,1/26/17,,,,
1031514,57203,8181784,84.0,5/20/17,,,,
1031520,48853,5643683,76.0,4/3/17,,,,
1031529,66418,6628700,78.0,5/20/17,,,,
1031530,26055,9255986,31.0,4/3/17,,,,
1031534,66055,1539292,51.0,3/12/17,,,,
1031539,69023,4047362,66.0,1/31/17,,,,
1031548,40275,9065127,49.0,3/27/17,,,,
1031555,26178,1928981,19.0,1/7/17,,,,
1031557,53659,6581337,49.0,3/6/17,,,,
1031560,58684,5480004,39.0,3/8/17,,,,
1031570,55866,3443570,99.0,4/14/17,,,,
1031579,44649,2706313,88.0,2/19/17,,,,
1031583,67235,6568510,37.0,2/15/17,,,,
1031586,40454,7029468,88.0,5/28/17,,,,
1031594,54492,4837448,47.0,1/28/17,,,,
1031597,48065,1996544,26.0,4/27/17,,,,
1031604,40154,6850809,93.0,2/11/17,,,,
1031610,20506,5971914,98.0,1/21/17,,,,
1031614,16984,5194080,55.0,5/7/17,,,,
1031617,22713,9054610,90.0,5/11/17,,,,
1031619,46919,2732100,66.0,5/28/17,,,,
1031629,65499,7593960,27.0,1/8/17,,,,
1031633,49916,7288875,17.0,5/5/17,,,,
1031634,69008,2381088,98.0,5/31/17,,,,
1031643,23748,8053022,5.0,1/17/17,,,,
1031652,25924,7065025,87.0,6/1/17,,,,
1031656,41783,1356902,8.0,3/7/17,,,,
1031657,15359,4904067,32.0,3/9/17,,,,
1031660,19625,4374664,70.0,2/11/17,,,,
1031661,30681,4906323,91.0,6/1/17,,,,
1031665,28045,1671989,57.0,2/6/17,,,,
1031672,24364,1614162,61.0,2/7/17,,,,
1031676,21453,4061210,58.0,3/27/17,,,,
1031681,44998,8711315,10.0,5/30/17,,,,
1031688,59541,5696130,89.0,5/20/17,,,,
1031692,59580,8109897,84.0,2/5/17,,,,
1031697,23012,1348935,21.0,5/22/17,,,,
1031700,21621,1922107,83.0,3/16/17,,,,
1031710,12766,7071227,10.0,1/11/17,,,,
1031720,45787,5800223,84.0,4/25/17,,,,
1031730,65913,5190966,96.0,3/18/17,,,,
1031732,70150,7572706,14.0,1/20/17,,,,
1031733,35193,3567971,89.0,3/23/17,,,,
1031743,41384,9021794,25.0,2/16/17,,,,
1031750,60127,6073841,51.0,1/29/17,,,,
1031752,40586,6153669,3.0,2/11/17,,,,
1031759,62413,4319081,2.0,3/18/17,,,,
1031769,46974,8504835,74.0,2/5/17,,,,
1031770,13598,5977311,12.0,5/27/17,,,,
1031780,52251,1680364,60.0,3/27/17,,,,
1031788,21256,6808769,82.0,2/19/17,,,,
1031796,63260,4708739,3.0,2/11/17,,,,
1031800,37163,3528270,58.0,1/4/17,,,,
1031810,20736,7678079,81.0,2/25/17,,,,
1031816,17390,6672165,58.0,3/27/17,,,,
1031817,30499,5648091,74.0,2/3/17,,,,
1031824,44347,2433204,57.0,4/10/17,,,,
1031829,61219,8962936,71.0,5/22/17,,,,
1031837,44163,9149160,91.0,4/12/17,,,,
1031845,48527,6074123,59.0,1/19/17,,,,
1031854,56951,5097678,4.0,3/30/17,,,,
1031858,17706,8006204,83.0,1/1/17,,,,
1031862,54732,7408603,98.0,4/14/17,,,,
1031868,43058,8938850,53.0,5/2/17,,,,
1031877,59230,2436266,73.0,1/11/17,,,,
1031878,53664,2805982,72.0,4/28/17,,,,
1031886,60479,4861537,93.0,5/12/17,,,,
1031888,56300,2697972,24.0,3/31/17,,,,
1031889,32739,3951896,49.0,3/27/17,,,,
1031894,41718,9058866,65.0,3/24/17,,,,
1031899,39427,8470268,37.0,5/8/17,,,,
1031900,64203,8031993,65.0,3/7/17,,,,
1031907,52669,6520745,89.0,1/27/17,,,,
1031913,68470,2231376,68.0,5/25/17,,,,
1031923,69287,6945358,94.0,1/11/17,,,,
1031925,60267,3918811,88.0,3/15/17,,,,
1031932,32412,6437277,45.0,1/17/17,,,,
1031934,39037,9042883,10.0,2/18/17,,,,
1031944,19622,8829940,33.0,5/5/17,,,,
1031953,57101,7944391,61.0,1/4/17,,,,
1031954,53222,6254843,53.0,4/15/17,,,,
1031957,46016,4340338,74.0,4/11/17,,,,
1031963,25333,8484337,48.0,1/14/17,,,,
1031970,28196,7806151,2.0,2/7/17,,,,
1031980,43585,7604140,51.0,1/21/17,,,,
1031983,25806,1967229,33.0,5/30/17,,,,
1031992,68591,5036646,68.0,4/1/17,,,,
1031994,60460,4172058,99.0,4/2/17,,,,
1032000,22283,8307636,27.0,5/4/17,,,,
1032009,54221,5553966,52.0,4/30/17,,,,
1032019,39211,6460793,28.0,3/25/17,,,,
1032021,53508,4555852,14.0,2/8/17,,,,
1032031,41141,6084061,39.0,2/19/17,,,,
1032037,46971,2447150,78.0,1/9/17,,,,
1032042,65777,2367215,60.0,5/16/17,,,,
1032046,41207,5802638,100.0,2/28/17,,,,
1032053,49240,6590300,65.0,3/7/17,,,,
1032056,12991,4669119,6.0,3/28/17,,,,
1032061,30562,4309913,24.0,3/21/17,,,,
1032064,14230,8733615,93.0,4/14/17,,,,
1032065,55914,8408005,50.0,4/15/17,,,,
1032073,56469,3439127,30.0,5/4/17,,,,
1032076,21062,3722977,34.0,1/30/17,,,,
1032085,61017,5546879,13.0,1/1/17,,,,
1032093,27040,5779440,25.0,1/5/17,,,,
1032103,47898,7724399,37.0,4/10/17,,,,
1032104,32068,5756594,64.0,1/12/17,,,,
1032110,70124,2849501,94.0,4/29/17,,,,
1032111,63295,2127871,25.0,2/7/17,,,,
1032113,52384,2149809,93.0,1/1/17,,,,
1032119,24537,8549349,87.0,5/4/17,,,,
1032129,35996,3742189,42.0,2/21/17,,,,
1032130,36739,5680425,15.0,2/1/17,,,,
1032137,13941,5410573,61.0,1/25/17,,,,
1032147,18146,3188004,1.0,3/3/17,,,,
1032152,53656,9244060,76.0,4/12/17,,,,
1032162,18391,9166723,19.0,4/7/17,,,,
1032164,65095,3418740,17.0,1/8/17,,,,
1032168,41029,5703193,46.0,1/24/17,,,,
1032175,63235,4560589,90.0,1/2/17,,,,
1032180,61969,7302027,3.0,5/11/17,,,,
1032190,15757,7738903,16.0,5/23/17,,,,
1032195,68022,8966884,51.0,3/2/17,,,,
1032201,37834,7106943,84.0,4/17/17,,,,
1032209,42632,7646809,75.0,1/1/17,,,,
1032218,12171,4326708,11.0,1/18/17,,,,
1032223,45111,4553617,29.0,1/27/17,,,,
1032230,37228,4757765,83.0,2/11/17,,,,
1032239,50112,5403394,52.0,3/16/17,,,,
1032247,54054,8339134,67.0,1/26/17,,,,
1032248,60306,6147082,60.0,1/29/17,,,,
1032254,53184,7773277,38.0,1/7/17,,,,
1032258,50644,8141379,72.0,4/13/17,,,,
1032265,18300,2538771,28.0,4/1/17,,,,
1032267,59442,2387173,67.0,4/23/17,,,,
1032275,23655,2302322,94.0,5/21/17,,,,
1032282,67931,7690141,45.0,2/14/17,,,,
1032283,40274,4860273,70.0,2/24/17,,,,
1032291,32714,4218244,55.0,5/27/17,,,,
1032298,43345,3289829,1.0,3/10/17,,,,
1032299,24902,4029684,90.0,5/22/17,,,,
1032302,36553,7958553,40.0,5/5/17,,,,
1032309,50496,8145570,54.0,1/22/17,,,,
1032318,20713,1494971,5.0,2/26/17,,,,
1032325,41485,6829144,23.0,5/5/17,,,,
1032334,44553,8401603,94.0,2/4/17,,,,
1032342,63805,2453515,100.0,1/19/17,,,,
1032352,36789,6092619,20.0,1/8/17,,,,
1032361,42070,9338655,94.0,5/14/17,,,,
1032364,20452,1494100,16.0,2/15/17,,,,
1032369,18481,1977975,36.0,5/3/17,,,,
1032376,16564,7747605,12.0,4/15/17,,,,
1032385,68476,1472650,92.0,4/29/17,,,,
1032389,45266,5716660,12.0,1/11/17,,,,
1032391,51757,2718807,82.0,4/13/17,,,,
1032400,43984,2756781,58.0,4/2/17,,,,
1032406,43780,7839606,91.0,2/24/17,,,,
1032411,62330,4797603,17.0,2/13/17,,,,
1032417,42881,5195602,19.0,5/12/17,,,,
1032426,15348,2185878,89.0,3/30/17,,,,
1032433,28290,8696315,20.0,3/19/17,,,,
1032441,67661,6360316,58.0,1/6/17,,,,
1032444,49557,4485360,58.0,3/3/17,,,,
1032450,50558,3435331,58.0,1/21/17,,,,
1032455,42021,6796072,95.0,5/15/17,,,,
1032458,19631,4793152,57.0,4/15/17,,,,
1032464,32739,6941240,11.0,5/29/17,,,,
1032473,17678,4701699,6.0,1/30/17,,,,
1032476,60384,2697387,60.0,2/25/17,,,,
1032477,40374,7824056,70.0,1/30/17,,,,
1032487,20638,8784205,56.0,4/9/17,,,,
1032489,63658,7105466,73.0,4/20/17,,,,
1032497,15095,4037494,99.0,4/26/17,,,,
1032500,10533,2751555,5.0,2/17/17,,,,
1032508,62298,6720822,51.0,4/21/17,,,,
1032518,32147,2075461,88.0,5/26/17,,,,
1032523,25966,8598708,57.0,3/8/17,,,,
1032525,41112,1462357,40.0,3/29/17,,,,
1032532,19542,1385258,12.0,5/23/17,,,,
1032539,62281,8430542,73.0,3/30/17,,,,
1032548,28866,8288019,9.0,4/6/17,,,,
1032556,38628,4208501,32.0,1/30/17,,,,
1032564,35274,5427190,84.0,1/13/17,,,,
1032567,15165,7813575,86.0,1/17/17,,,,
1032576,33798,2945082,24.0,5/5/17,,,,
1032580,66632,3020532,33.0,4/5/17,,,,
1032588,57306,7694539,21.0,2/25/17,,,,
1032597,14330,6803148,85.0,5/8/17,,,,
1032599,40931,5759578,1.0,4/24/17,,,,
1032603,22133,8710682,13.0,5/2/17,,,,
1032613,63454,7028539,50.0,2/24/17,,,,
1032621,65410,5171497,16.0,1/25/17,,,,
1032623,34405,4838175,83.0,3/19/17,,,,
1032633,58889,7411104,52.0,5/18/17,,,,
1032637,62852,5977229,71.0,2/23/17,,,,
1032646,10409,2406720,9.0,2/20/17,,,,
1032647,66075,2879805,10.0,4/14/17,,,,
1032653,67014,7648208,100.0,2/4/17,,,,
1032658,40829,8851706,94.0,2/7/17,,,,
1032659,43296,3161853,50.0,3/31/17,,,,
1032664,56812,7452352,39.0,5/8/17,,,,
1032668,27560,1367459,70.0,3/21/17,,,,
1032675,13896,2998328,77.0,2/4/17,,,,
1032685,50862,9178921,47.0,2/8/17,,,,
1032692,40106,7474872,2.0,1/14/17,,,,
1032699,55301,2695677,42.0,1/6/17,,,,
1032708,13922,1612994,59.0,2/13/17,,,,
1032714,15023,4648583,37.0,5/11/17,,,,
1032718,13738,8617427,22.0,3/18/17,,,,
1032725,58108,6164508,42.0,2/7/17,,,,
1032729,28613,8746394,4.0,1/10/17,,,,
1032731,67225,2824689,60.0,2/12/17,,,,
1032735,25832,5385831,82.0,1/20/17,,,,
1032736,13338,2610510,26.0,5/22/17,,,,
1032745,14397,3247643,67.0,5/11/17,,,,
1032755,14297,9222547,77.0,4/29/17,,,,
1032762,20821,6021493,85.0,5/10/17,,,,
1032765,48591,9035560,93.0,5/11/17,,,,
1032770,48838,5115379,51.0,3/26/17,,,,
1032774,49930,5527861,79.0,5/25/17,,,,
1032778,48334,8943512,50.0,1/21/17,,,,
1032783,68369,6966865,73.0,1/6/17,,,,
1032787,48797,2523815,34.0,3/9/17,,,,
1032794,37834,3581617,84.0,5/18/17,,,,
1032796,52506,4759290,39.0,1/1/17,,,,
1032806,57315,3045124,77.0,1/9/17,,,,
1032816,35516,2033855,56.0,1/3/17,,,,
1032826,42615,8231993,21.0,2/12/17,,,,
1032833,34644,3100871,66.0,1/31/17,,,,
1032843,42471,9294196,67.0,3/25/17,,,,
1032853,41312,6691214,15.0,2/11/17,,,,
1032862,17354,1728097,8.0,3/28/17,,,,
1032868,36942,7340201,38.0,5/2/17,,,,
1032872,39183,7587805,98.0,3/20/17,,,,
1032873,50431,2113540,19.0,4/24/17,,,,
1032874,37502,4964093,15.0,1/16/17,,,,
1032884,15072,1870556,71.0,3/16/17,,,,
1032887,68622,4639534,35.0,3/5/17,,,,
1032890,59594,4104620,88.0,1/11/17,,,,
1032893,17454,2338993,99.0,3/30/17,,,,
1032898,44596,4253652,83.0,4/11/17,,,,
1032900,25952,5786604,97.0,4/14/17,,,,
1032906,36521,4372393,78.0,4/7/17,,,,
1032916,30552,7335387,83.0,4/6/17,,,,
1032917,40978,9122829,17.0,2/20/17,,,,
1032920,23505,3912830,83.0,3/20/17,,,,
1032927,31106,4278920,8.0,5/26/17,,,,
1032931,68552,2324545,18.0,5/24/17,,,,
1032935,69422,6522691,89.0,5/6/17,,,,
1032942,54692,8734839,64.0,3/5/17,,,,
1032950,68077,9249557,2.0,5/25/17,,,,
1032960,12517,5992298,44.0,3/17/17,,,,
1032963,40328,6343407,66.0,1/29/17,,,,
1032969,23424,8950512,62.0,2/26/17,,,,
1032975,47219,9325161,4.0,3/27/17,,,,
1032984,18417,5990256,13.0,5/23/17,,,,
1032993,45947,3602103,83.0,1/20/17,,,,
1033000,53609,5247317,92.0,3/9/17,,,,
1033009,34027,8937217,48.0,1/4/17,,,,
1033017,62499,6074490,41.0,3/24/17,,,,
1033025,66113,7151844,14.0,4/21/17,,,,
1033031,42946,3568822,60.0,1/21/17,,,,
1033036,27612,8111406,26.0,1/14/17,,,,
1033043,60310,7392809,32.0,4/22/17,,,,
1033050,17899,1675163,6.0,6/1/17,,,,
1033055,29655,7581287,59.0,1/8/17,,,,
1033058,29245,4252235,69.0,5/9/17,,,,
1033067,55920,6059663,53.0,4/8/17,,,,
1033077,34497,4647498,40.0,3/22/17,,,,
1033078,53233,4694885,9.0,2/13/17,,,,
1033086,64897,7894990,82.0,3/3/17,,,,
1033096,51906,9084240,12.0,3/18/17,,,,
1033099,50580,1573070,52.0,2/26/17,,,,
1033104,21168,6998184,11.0,1/29/17,,,,
1033109,11320,8580527,8.0,2/5/17,,,,
1033113,30005,5926910,26.0,1/2/17,,,,
1033122,50728,8393270,64.0,4/4/17,,,,
1033131,54742,3494918,56.0,3/22/17,,,,
1033134,62764,3737698,47.0,3/30/17,,,,
1033144,21207,8017410,62.0,5/9/17,,,,
1033149,18237,5141537,36.0,3/9/17,,,,
1033157,14825,7776459,54.0,3/30/17,,,,
1033164,18960,1529227,61.0,6/1/17,,,,
1033167,28813,4969799,38.0,3/16/17,,,,
1033176,40174,1776161,22.0,1/24/17,,,,
1033180,36884,3577484,39.0,3/31/17,,,,
1033189,24648,5373335,55.0,5/26/17,,,,
1033198,46570,6186738,11.0,4/18/17,,,,
1033204,52463,6770662,67.0,4/4/17,,,,
1033205,62852,3211248,40.0,1/1/17,,,,
1033213,27802,1775979,80.0,5/6/17,,,,
1033223,43585,2851801,17.0,5/8/17,,,,
1033226,67596,5296789,95.0,3/16/17,,,,
1033231,32688,5617605,23.0,4/4/17,,,,
1033237,37678,3630555,23.0,5/22/17,,,,
1033242,46755,1977443,46.0,1/16/17,,,,
1033244,23073,7246984,85.0,3/8/17,,,,
1033252,49671,8494808,50.0,6/1/17,,,,
1033259,31342,9014033,27.0,3/22/17,,,,
1033264,25867,7261375,26.0,3/9/17,,,,
1033266,14163,4860436,15.0,4/16/17,,,,
1033274,46289,3434073,11.0,1/13/17,,,,
1033277,51710,4267174,97.0,5/10/17,,,,
1033283,39310,1518413,50.0,2/22/17,,,,
1033291,46750,6398119,89.0,1/19/17,,,,
1033299,50679,6988453,31.0,4/29/17,,,,
1033301,12506,4655625,63.0,2/4/17,,,,
1033305,52294,5357876,18.0,1/29/17,,,,
1033308,40044,6488323,74.0,2/12/17,,,,
1033311,12766,4135320,66.0,1/9/17,,,,
